               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056902,            0.030093,             0.03647,             0.23869,             0.31294,             0.32094,            0.092602,             0.06265,            0.012736,            0.038544,            0.006535,            0.006535,            0.006535
                  37,            0.055378,            0.028682,            0.033348,             0.45169,             0.15455,             0.15183,            0.034563,            0.064966,            0.015274,            0.037434,            0.006436,            0.006436,            0.006436
                  38,            0.056412,            0.031218,            0.032043,             0.45883,             0.26364,               0.127,            0.031759,            0.057621,            0.022026,            0.036694,            0.006337,            0.006337,            0.006337
                  39,            0.055773,             0.02786,             0.03351,             0.31293,             0.35829,             0.28606,            0.090529,            0.055693,            0.014547,            0.040695,            0.006238,            0.006238,            0.006238
                  40,            0.053842,            0.027674,            0.030685,            0.067021,             0.16818,            0.077643,            0.024969,            0.066652,            0.015434,            0.049446,            0.006139,            0.006139,            0.006139
                  41,            0.050992,             0.02742,            0.030543,             0.56194,             0.11818,             0.21407,            0.045959,            0.065981,            0.015637,            0.031258,             0.00604,             0.00604,             0.00604
                  42,            0.052371,            0.027495,            0.028847,             0.17675,             0.47576,             0.14819,            0.055893,            0.052901,            0.015107,            0.032745,            0.005941,            0.005941,            0.005941
                  43,            0.050063,            0.026849,            0.027332,              0.3034,             0.34862,             0.28039,             0.09575,            0.050918,            0.015251,            0.033447,            0.005842,            0.005842,            0.005842
                  44,            0.053536,            0.028287,            0.026866,            0.058348,             0.27532,            0.092107,             0.03776,            0.057665,            0.021445,            0.033058,            0.005743,            0.005743,            0.005743
                  45,            0.053782,            0.029522,            0.028101,             0.09844,             0.60649,             0.16519,            0.060218,            0.051624,            0.022553,            0.029217,            0.005644,            0.005644,            0.005644
                  46,            0.051161,            0.029494,            0.027428,             0.27554,             0.29095,             0.24317,            0.058731,            0.051485,            0.019038,            0.028877,            0.005545,            0.005545,            0.005545
                  47,            0.049144,            0.024483,            0.025938,             0.44356,             0.63595,             0.29206,            0.095873,            0.053785,            0.014367,            0.030693,            0.005446,            0.005446,            0.005446
                  48,            0.050278,            0.025858,            0.027509,             0.30365,             0.68333,             0.35725,             0.13484,            0.052646,            0.013324,            0.033493,            0.005347,            0.005347,            0.005347
